ASSAY_ID,assay_chembl_id,target_chembl_id,target_type
737823,CHEMBL1741322,CHEMBL3356,SINGLE PROTEIN
737824,CHEMBL1741323,CHEMBL3622,SINGLE PROTEIN
688422,CHEMBL1614544,CHEMBL1293235,SINGLE PROTEIN
688810,CHEMBL1613836,CHEMBL1615322,NUCLEIC-ACID
688812,CHEMBL1613838,CHEMBL1293294,SINGLE PROTEIN
688816,CHEMBL1613842,CHEMBL1293232,SINGLE PROTEIN
688724,CHEMBL1614364,CHEMBL1075138,SINGLE PROTEIN
688739,CHEMBL1614421,CHEMBL1293224,SINGLE PROTEIN
688759,CHEMBL1614441,CHEMBL1293231,SINGLE PROTEIN
688238,CHEMBL1614458,CHEMBL3577,SINGLE PROTEIN
688239,CHEMBL1614459,CHEMBL612545,UNCHECKED
688157,CHEMBL1614236,CHEMBL1293303,SINGLE PROTEIN
688267,CHEMBL1614530,CHEMBL2026,SINGLE PROTEIN
688360,CHEMBL1614342,CHEMBL1293277,SINGLE PROTEIN
688620,CHEMBL1614087,CHEMBL1293231,SINGLE PROTEIN
688653,CHEMBL1614146,CHEMBL1615322,NUCLEIC-ACID
600885,CHEMBL1040691,CHEMBL364,ORGANISM
600886,CHEMBL1040692,CHEMBL364,ORGANISM
688422_1,CHEMBL1614544,CHEMBL1293235,SINGLE PROTEIN
688238_1,CHEMBL1614458,CHEMBL3577,SINGLE PROTEIN
688239_1,CHEMBL1614459,CHEMBL612545,UNCHECKED
600886_1,CHEMBL1040692,CHEMBL364,ORGANISM
737822,CHEMBL1741321,CHEMBL289,SINGLE PROTEIN
737826,CHEMBL1741325,CHEMBL3397,SINGLE PROTEIN
737823_1,CHEMBL1741322,CHEMBL3356,SINGLE PROTEIN
737824_1,CHEMBL1741323,CHEMBL3622,SINGLE PROTEIN
737825,CHEMBL1741324,CHEMBL340,SINGLE PROTEIN
752386,CHEMBL1794324,CHEMBL1741192,SINGLE PROTEIN
752310,CHEMBL1794349,CHEMBL1741192,SINGLE PROTEIN
809005,CHEMBL1963972,CHEMBL612545,UNCHECKED
1301435,CHEMBL3214992,CHEMBL3879801,NON-MOLECULAR
1301666,CHEMBL3215227,CHEMBL612545,UNCHECKED
1495242,CHEMBL3561973,CHEMBL612545,UNCHECKED
1495404,CHEMBL3562135,CHEMBL612545,UNCHECKED
1495405,CHEMBL3562136,CHEMBL612545,UNCHECKED
1495415,CHEMBL3562146,CHEMBL612545,UNCHECKED
737121,CHEMBL1737865,CHEMBL612545,UNCHECKED
737370,CHEMBL1738513,CHEMBL612545,UNCHECKED
737357,CHEMBL1738500,CHEMBL5313,SINGLE PROTEIN
737098,CHEMBL1613884,CHEMBL614818,CELL-LINE
688444,CHEMBL1613820,CHEMBL1293251,SINGLE PROTEIN
688279,CHEMBL1613794,CHEMBL612545,UNCHECKED
809021,CHEMBL1963988,CHEMBL3885546,PROTEIN COMPLEX
809009,CHEMBL1963976,CHEMBL614078,CELL-LINE
809014,CHEMBL1963981,CHEMBL614054,CELL-LINE
809018,CHEMBL1963985,CHEMBL614997,CELL-LINE
809022,CHEMBL1963989,CHEMBL614519,CELL-LINE
809023,CHEMBL1963990,CHEMBL614388,CELL-LINE
809024,CHEMBL1963991,CHEMBL613889,CELL-LINE
809027,CHEMBL1963994,CHEMBL383,CELL-LINE
809031,CHEMBL1964017,CHEMBL613508,CELL-LINE
809032,CHEMBL1964018,CHEMBL614860,CELL-LINE
809035,CHEMBL1964021,CHEMBL614922,CELL-LINE
809039,CHEMBL1964025,CHEMBL614021,CELL-LINE
809044,CHEMBL1964030,CHEMBL385,CELL-LINE
809048,CHEMBL1964034,CHEMBL614516,CELL-LINE
809051,CHEMBL1964037,CHEMBL614213,CELL-LINE
809054,CHEMBL1964040,CHEMBL614177,CELL-LINE
809057,CHEMBL1964043,CHEMBL614643,CELL-LINE
809059,CHEMBL1964045,CHEMBL613829,CELL-LINE
809061,CHEMBL1964047,CHEMBL615022,CELL-LINE
809062,CHEMBL1964048,CHEMBL612555,CELL-LINE
809073,CHEMBL1964059,CHEMBL614164,CELL-LINE
809076,CHEMBL1964062,CHEMBL614034,CELL-LINE
809077,CHEMBL1964063,CHEMBL400,CELL-LINE
809079,CHEMBL1964065,CHEMBL614300,CELL-LINE
809080,CHEMBL1964066,CHEMBL614056,CELL-LINE
809086,CHEMBL1964072,CHEMBL612262,CELL-LINE
809089,CHEMBL1964075,CHEMBL614387,CELL-LINE
809091,CHEMBL1964077,CHEMBL614709,CELL-LINE
809099,CHEMBL1964085,CHEMBL614317,CELL-LINE
809100,CHEMBL1964086,CHEMBL613533,CELL-LINE
809101,CHEMBL1964087,CHEMBL614803,CELL-LINE
809102,CHEMBL1964088,CHEMBL614882,CELL-LINE
809105,CHEMBL1964091,CHEMBL614051,CELL-LINE
809106,CHEMBL1964092,CHEMBL614096,CELL-LINE
809113,CHEMBL1964099,CHEMBL614072,CELL-LINE
809292,CHEMBL1963844,CHEMBL614917,CELL-LINE
809302,CHEMBL1963854,CHEMBL392,CELL-LINE
809308,CHEMBL1963860,CHEMBL613855,CELL-LINE
809314,CHEMBL1963866,CHEMBL614451,CELL-LINE
809316,CHEMBL1963868,CHEMBL612263,CELL-LINE
809322,CHEMBL1963874,CHEMBL394,CELL-LINE
809324,CHEMBL1963876,CHEMBL613977,CELL-LINE
809328,CHEMBL1963880,CHEMBL614487,CELL-LINE
809330,CHEMBL1963882,CHEMBL387,CELL-LINE
809333,CHEMBL1963885,CHEMBL390,CELL-LINE
809335,CHEMBL1963887,CHEMBL614642,CELL-LINE
809337,CHEMBL1963889,CHEMBL614110,CELL-LINE
809343,CHEMBL1963895,CHEMBL614925,CELL-LINE
809348,CHEMBL1963900,CHEMBL614361,CELL-LINE
809349,CHEMBL1963901,CHEMBL396,CELL-LINE
809351,CHEMBL1963903,CHEMBL614610,CELL-LINE
809359,CHEMBL1963911,CHEMBL614067,CELL-LINE
809369,CHEMBL1963921,CHEMBL614697,CELL-LINE
809370,CHEMBL1963922,CHEMBL614908,CELL-LINE
809377,CHEMBL1963929,CHEMBL613984,CELL-LINE
809393,CHEMBL1963945,CHEMBL614645,CELL-LINE
809401,CHEMBL1963953,CHEMBL613102,CELL-LINE
809408,CHEMBL1963960,CHEMBL612796,CELL-LINE
809409,CHEMBL1963961,CHEMBL382,CELL-LINE
809411,CHEMBL1963963,CHEMBL614285,CELL-LINE
809423,CHEMBL1964004,CHEMBL614740,CELL-LINE
809425,CHEMBL1964006,CHEMBL384,CELL-LINE
809426,CHEMBL1964007,CHEMBL614919,CELL-LINE
809428,CHEMBL1964009,CHEMBL614886,CELL-LINE
809431,CHEMBL1964012,CHEMBL614561,CELL-LINE
737256,CHEMBL1738183,CHEMBL612545,UNCHECKED
737262,CHEMBL1738239,CHEMBL6089,SINGLE PROTEIN
737390,CHEMBL1738578,CHEMBL1741207,SINGLE PROTEIN
737452,CHEMBL1738682,CHEMBL1741176,SINGLE PROTEIN
737622,CHEMBL1738131,CHEMBL612545,UNCHECKED
737212,CHEMBL1614170,CHEMBL614818,CELL-LINE
737403,CHEMBL1614276,CHEMBL614818,CELL-LINE
737353,CHEMBL1738497,CHEMBL3402,SINGLE PROTEIN
737421,CHEMBL1738639,CHEMBL2146304,SINGLE PROTEIN
736962,CHEMBL1738369,CHEMBL612545,UNCHECKED
737022,CHEMBL1738552,CHEMBL612545,UNCHECKED
737053,CHEMBL1738598,CHEMBL612545,UNCHECKED
752398,CHEMBL1794336,CHEMBL1741212,SINGLE PROTEIN
752327,CHEMBL1794366,CHEMBL612545,UNCHECKED
752533,CHEMBL1794523,CHEMBL614576,CELL-LINE
809336,CHEMBL1963888,CHEMBL3885546,PROTEIN COMPLEX
845098,CHEMBL2114896,CHEMBL612545,UNCHECKED
845258,CHEMBL2114926,CHEMBL612545,UNCHECKED
1495389,CHEMBL3562120,CHEMBL612545,UNCHECKED
1495390,CHEMBL3562121,CHEMBL612545,UNCHECKED
1495392,CHEMBL3562123,CHEMBL612545,UNCHECKED
1495393,CHEMBL3562124,CHEMBL612545,UNCHECKED
1495295,CHEMBL3562026,CHEMBL612545,UNCHECKED
1495296,CHEMBL3562027,CHEMBL612545,UNCHECKED
1495265,CHEMBL3561996,CHEMBL612545,UNCHECKED
1495307,CHEMBL3562038,CHEMBL612545,UNCHECKED
1495312,CHEMBL3562043,CHEMBL612545,UNCHECKED
1495290,CHEMBL3562021,CHEMBL612545,UNCHECKED
1495338,CHEMBL3562069,CHEMBL612545,UNCHECKED
1495260,CHEMBL3561991,CHEMBL612545,UNCHECKED
1495408,CHEMBL3562139,CHEMBL612545,UNCHECKED
737187,CHEMBL1737991,CHEMBL5896,SINGLE PROTEIN
737127,CHEMBL1737868,CHEMBL1741209,SINGLE PROTEIN
737173,CHEMBL1737980,CHEMBL1075094,SINGLE PROTEIN
737400,CHEMBL1738606,CHEMBL5501,SINGLE PROTEIN
737623,CHEMBL1738132,CHEMBL4096,SINGLE PROTEIN
737717,CHEMBL1738402,CHEMBL1741210,SINGLE PROTEIN
737718,CHEMBL1613775,CHEMBL6035,SINGLE PROTEIN
737287,CHEMBL1738317,CHEMBL1741209,SINGLE PROTEIN
737344,CHEMBL1738442,CHEMBL6032,SINGLE PROTEIN
737407,CHEMBL1738610,CHEMBL1741193,SINGLE PROTEIN
736947,CHEMBL1738312,CHEMBL1741220,SINGLE PROTEIN
736963,CHEMBL1613800,CHEMBL2457,SINGLE PROTEIN
752347,CHEMBL1794311,CHEMBL1977,SINGLE PROTEIN
752328,CHEMBL1794367,CHEMBL1795085,SINGLE PROTEIN
752407,CHEMBL1794345,CHEMBL364,ORGANISM
752411,CHEMBL1794401,CHEMBL1741193,SINGLE PROTEIN
752493,CHEMBL1794483,CHEMBL5391,SINGLE PROTEIN
752471,CHEMBL1794461,CHEMBL3885569,PROTEIN COMPLEX
752434,CHEMBL1794424,CHEMBL6035,SINGLE PROTEIN
752496,CHEMBL1794486,CHEMBL5027,SINGLE PROTEIN
752509,CHEMBL1794499,CHEMBL1795091,SINGLE PROTEIN
752563,CHEMBL1794553,CHEMBL395,CELL-LINE
752546,CHEMBL1794536,CHEMBL5365,SINGLE PROTEIN
752522,CHEMBL1794512,CHEMBL612545,UNCHECKED
752590,CHEMBL1794580,CHEMBL364,ORGANISM
752594,CHEMBL1794584,CHEMBL1293258,SINGLE PROTEIN
752477,CHEMBL1794467,CHEMBL1795087,SINGLE PROTEIN
809095,CHEMBL1964081,CHEMBL2007624,SINGLE PROTEIN
809421,CHEMBL1964002,CHEMBL2007625,SINGLE PROTEIN
845045,CHEMBL2114843,CHEMBL1293278,SINGLE PROTEIN
845063,CHEMBL2114861,CHEMBL612545,UNCHECKED
845102,CHEMBL2114713,CHEMBL2146309,SINGLE PROTEIN
845127,CHEMBL2114738,CHEMBL2146302,SINGLE PROTEIN
845164,CHEMBL2114775,CHEMBL612545,UNCHECKED
845133,CHEMBL2114744,CHEMBL2056,SINGLE PROTEIN
845169,CHEMBL2114780,CHEMBL1293278,SINGLE PROTEIN
845173,CHEMBL2114784,CHEMBL1795085,SINGLE PROTEIN
845177,CHEMBL2114788,CHEMBL1784,SINGLE PROTEIN
845185,CHEMBL2114796,CHEMBL2146312,SINGLE PROTEIN
845196,CHEMBL2114807,CHEMBL5990,SINGLE PROTEIN
845199,CHEMBL2114810,CHEMBL4377,SINGLE PROTEIN
845186,CHEMBL2114797,CHEMBL2146315,SINGLE PROTEIN
845225,CHEMBL2114836,CHEMBL2146310,SINGLE PROTEIN
845231,CHEMBL2114842,CHEMBL1741186,SINGLE PROTEIN
954272,CHEMBL2354221,CHEMBL1075138,SINGLE PROTEIN
954305,CHEMBL2354254,CHEMBL1075138,SINGLE PROTEIN
954338,CHEMBL2354287,CHEMBL2362981,SINGLE PROTEIN
954333,CHEMBL2354282,CHEMBL6152,SINGLE PROTEIN
1301428,CHEMBL3214953,CHEMBL1795087,SINGLE PROTEIN
1301460,CHEMBL3215017,CHEMBL612545,UNCHECKED
1301485,CHEMBL3215046,CHEMBL2029198,SINGLE PROTEIN
1301620,CHEMBL3215181,CHEMBL612545,UNCHECKED
1301608,CHEMBL3215169,CHEMBL612545,UNCHECKED
1301593,CHEMBL3215154,CHEMBL612545,UNCHECKED
1301717,CHEMBL3215278,CHEMBL3024,SINGLE PROTEIN
1301709,CHEMBL3215270,CHEMBL612545,UNCHECKED
688671,CHEMBL1614211,CHEMBL5619,SINGLE PROTEIN
845206,CHEMBL2114817,CHEMBL4377,SINGLE PROTEIN
1301866,CHEMBL3214913,CHEMBL612545,UNCHECKED
1301890,CHEMBL3214967,CHEMBL2029197,SINGLE PROTEIN
1301859,CHEMBL3214906,CHEMBL2029198,SINGLE PROTEIN
1301893,CHEMBL3214970,CHEMBL612545,UNCHECKED
1495346,CHEMBL3562077,CHEMBL612545,UNCHECKED
