,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
0,1914,156,2070,258,72,330,324,138,462,0.566358024691358,1E-06
1,604,1340,1944,72,228,300,168,264,432,0.703373015873016,0.1
2,96,1649,1745,14,432,446,204,390,594,0.556548516842634,1000
3,256,834,1090,120,168,288,216,294,510,0.425721214411691,1E-06
4,442,360,802,144,132,276,312,126,438,0.664758852258852,0.01
5,514,994,1508,96,233,329,114,432,546,0.463125406107862,1E-06
6,258,532,790,48,120,168,72,120,192,0.832175925925926,0.01
7,232,690,922,72,72,144,72,144,216,0.187596450617284,0.1
8,462,1550,2012,96,257,353,120,588,708,0.731420068027211,100
9,312,1212,1524,120,330,450,72,354,426,0.438833961079724,1E-06
10,336,2949,3285,72,451,523,144,876,1020,0.714881405377981,0.01
11,1576,1607,3183,200,366,566,454,828,1282,0.420502670837856,1000
12,156,1014,1170,72,96,168,48,450,498,0.729398148148148,0.1
13,216,545,761,24,65,89,72,84,156,0.641699735449735,1E-06
14,288,1008,1296,48,156,204,72,336,408,0.293940145502645,0.0001
15,248,753,1001,48,96,144,120,228,348,0.73578216374269,0.01
16,168,1307,1475,42,294,336,96,474,570,0.557775140646976,100
17,515,1322,1837,72,240,312,244,432,676,0.399998102610808,1000
18,466,192,658,156,24,180,360,96,456,0.625028935185185,100
19,582,1591,2173,192,456,648,144,564,708,0.422515267927502,1000000
20,256,834,1090,120,168,288,216,294,510,0.425721214411691,1E-06
21,234,638,872,72,72,144,96,258,354,0.514252260981912,1E-06
22,720,1350,2070,96,234,330,72,390,462,0.48792735042735,0.0001
23,864,1308,2172,192,192,384,48,540,588,0.508757716049383,0.001
24,276,1668,1944,24,276,300,96,336,432,0.571800595238095,1
25,376,1132,1508,24,305,329,72,474,546,0.755420768870136,0.01
26,636,2547,3183,144,422,566,186,1096,1282,0.308060591790283,1000000
27,288,1885,2173,72,576,648,96,612,708,0.587537445533769,1000
28,180,1764,1944,24,276,300,96,336,432,0.457217261904762,1E-06
29,286,1222,1508,24,305,329,48,498,546,0.805681057563588,0.01
30,6810,16717,23527,1344,2208,3552,1908,4166,6074,0.645266009857175,10000
31,5811,17118,22929,888,2400,3288,1500,4638,6138,0.774941066551675,1000
32,12027,10026,22053,1812,1104,2916,2448,2774,5222,0.589668861416232,1000
33,7881,16290,24171,1140,2322,3462,1754,4266,6020,0.744720258991437,100000
34,7278,14708,21986,1050,2118,3168,1932,3864,5796,0.652813007685746,0.001
35,2557,414,2971,288,96,384,474,24,498,0.61629746835443,100
36,1903,1158,3061,288,96,384,312,210,522,0.647359584859585,10000
37,952,264,1216,24,72,96,384,36,420,0.722005208333333,1000
38,162,222,384,24,72,96,84,66,150,0.588383838383838,1E-06
39,552,230,782,96,18,114,120,102,222,0.334395424836601,1
40,360,4554,4914,48,462,510,48,1122,1170,0.903780451574569,1
41,450,4380,4830,48,510,558,216,954,1170,0.843796102181846,1
42,3714,8754,12468,762,1266,2028,1644,2388,4032,0.777930100624778,100000
43,3288,8664,11952,762,894,1656,1404,2304,3708,0.769465403905508,1
44,144,433,577,72,60,132,144,208,352,0.387086004273504,1E-06
45,384,207,591,144,48,192,120,72,192,0.564930555555555,1E-06
46,510,1062,1572,24,138,162,66,250,316,0.712666666666667,1E-06
47,360,216,576,66,24,90,234,0,234,0.5,100
48,828,456,1284,162,48,210,270,144,414,0.722582304526749,0.1
49,360,930,1290,48,96,144,48,342,390,0.814449317738791,0.1
50,432,1080,1512,42,192,234,114,168,282,0.567355889724311,1000000
51,392,3560,3952,144,714,858,222,828,1050,0.988347042694869,0.1
52,474,4648,5122,144,852,996,144,1194,1338,0.970116787641913,0.01
53,522,4768,5290,240,756,996,228,1134,1362,0.966347195148365,1
54,522,4672,5194,144,852,996,228,1092,1320,0.927804286356918,0.01
55,426,4654,5080,144,852,996,180,1134,1314,0.982573976092495,0.01
56,528,4408,4936,144,804,948,180,1110,1290,0.97975975975976,0.1
57,578,4502,5080,192,612,804,312,894,1206,0.818634199506683,0.1
58,378,3760,4138,144,714,858,144,1020,1164,0.959055010893246,0.01
59,578,4664,5242,144,756,900,228,1134,1362,0.862406788576379,0.01
60,530,4538,5068,192,756,948,270,1092,1362,0.973477140143807,0.01
61,494,4412,4906,96,852,948,228,1014,1242,0.93352278625558,0.01
62,578,4514,5092,288,732,1020,282,1032,1314,0.947282698334158,0.1
63,480,4318,4798,144,708,852,180,972,1152,0.967341106538637,0.1
64,474,4654,5128,192,804,996,276,1014,1290,0.931827601978104,0.001
65,536,4820,5356,192,804,996,228,1092,1320,0.876598547651179,0.1
66,432,4786,5218,144,828,972,144,1098,1242,0.96685893543817,0.1
67,344,3884,4228,144,714,858,132,1032,1164,0.960586974395114,0.01
68,660,4720,5380,192,804,996,180,1182,1362,0.97762737356646,1
69,516,4648,5164,192,804,996,180,1182,1362,0.989603308892649,0.01
70,426,4738,5164,192,804,996,144,1218,1362,0.983551131180442,0.01
71,330,1458,1788,192,234,426,96,342,438,0.99317738791423,0.001
72,192,3880,4072,144,666,810,144,972,1116,0.98254601051669,0.1
73,626,4232,4858,192,684,876,240,1020,1260,0.952561274509804,0.1
74,282,4822,5104,48,900,948,192,1080,1272,0.863218557098765,0.0001
75,578,4682,5260,192,804,996,180,1182,1362,0.989697311524723,0.01
76,602,4304,4906,192,804,996,240,1014,1254,0.80435157790927,0.001
77,530,4688,5218,192,804,996,144,1170,1314,0.991150284900285,0.01
78,482,4712,5194,144,828,972,228,1092,1320,0.948802294197031,0.01
79,282,1530,1812,144,186,330,96,294,390,0.999468537414966,0.01
80,468,4558,5026,144,852,996,192,1098,1290,0.904888623254402,0.01
81,626,4538,5164,144,804,948,180,1092,1272,0.993376068376068,0.01
82,336,4738,5074,144,804,948,180,1044,1224,0.97962962962963,0.1
83,564,4534,5098,192,756,948,270,948,1218,0.970007032348804,0.01
84,392,3140,3532,144,618,762,144,900,1044,0.929297839506173,0.01
85,474,4738,5212,144,828,972,144,1128,1272,0.989774182427108,0.1
86,516,4798,5314,192,804,996,144,1194,1338,0.981481481481482,0.01
87,426,4190,4616,144,804,948,144,1128,1272,0.982534229708432,0.1
88,594,4474,5068,96,900,996,192,1098,1290,0.8030747191864,0.0001
89,668,4688,5356,192,804,996,192,1170,1362,0.899634971509971,1
90,578,4754,5332,240,756,996,192,1122,1314,0.964920343137255,0.1
91,474,4714,5188,144,852,996,144,1218,1362,0.961395046524357,0.01
92,384,4780,5164,192,804,996,192,1122,1314,0.870255867498515,0.001
93,482,3650,4132,240,618,858,276,930,1206,0.85784244974287,0.01
94,336,3826,4162,192,666,858,144,1020,1164,0.963636982570806,100
95,330,1554,1884,240,186,426,144,294,438,0.983111300075586,0.001
96,240,1170,1410,144,234,378,144,162,306,0.834619341563786,1
97,474,4546,5020,144,732,876,192,1050,1242,0.910297619047619,0.1
98,330,3736,4066,96,738,834,192,972,1164,0.868044838820302,0.1
99,564,4472,5036,192,756,948,144,1218,1362,0.977427704798394,0.01
100,530,4586,5116,240,684,924,144,1074,1218,0.98667364990689,0.01
101,546,4498,5044,192,804,996,192,1056,1248,0.920622238005051,0.01
102,434,3728,4162,192,666,858,222,894,1116,0.992437067940424,0.01
103,530,4874,5404,192,804,996,144,1218,1362,0.983591041780697,0.01
104,522,4690,5212,144,852,996,276,1086,1362,0.921934635812849,0.01
105,432,3442,3874,240,570,810,144,1020,1164,0.960743464052288,0.01
106,516,4678,5194,192,756,948,144,1176,1320,0.982196003401361,0.01
107,426,4882,5308,96,852,948,192,1050,1242,0.914761904761905,0.01
108,674,4592,5266,192,852,1044,318,996,1314,0.890394912985274,0.1
109,282,1554,1836,192,282,474,144,270,414,0.75869341563786,1000
110,288,4690,4978,144,756,900,144,1218,1362,0.978784665207079,0.01
111,488,4640,5128,192,804,996,192,1122,1314,0.950650809566251,0.1
112,336,4888,5224,96,900,996,144,1218,1362,0.931302453931764,1000
113,474,4168,4642,144,690,834,144,894,1038,0.977877206065126,0.1
114,468,4768,5236,240,756,996,192,1128,1320,0.953217346335697,0.001
115,168,252,420,0,0,0,60,60,120,0.704166666666667,0.001
116,192,744,936,24,144,168,72,372,444,0.474947729988052,1E-05
117,432,224,656,24,48,72,96,24,120,0.701822916666667,0.1
118,504,540,1044,120,72,192,66,384,450,0.24352904040404,100
119,186,234,420,0,0,0,60,60,120,0.705833333333333,100
120,192,384,576,24,66,90,96,138,234,0.355147946859903,1E-06
121,312,264,576,66,24,90,168,66,234,0.388708513708514,1000000
122,138,216,354,48,24,72,48,96,144,0.509331597222222,100
123,504,540,1044,24,168,192,48,402,450,0.795087064676617,1E-06
124,306,552,858,24,96,120,144,144,288,0.535734953703704,1E-06
125,378,480,858,24,96,120,72,216,288,0.983989197530864,1E-06
126,978,768,1746,144,114,258,282,24,306,0.394208037825059,100
127,216,246,462,48,0,48,48,24,72,0.796875,100
128,210,732,942,48,114,162,48,206,254,0.737762944983819,1
129,216,726,942,0,162,162,96,158,254,0.728902953586498,1
130,306,708,1014,24,144,168,48,48,96,0.506510416666667,1E-05
131,504,336,840,48,24,72,42,120,162,0.475992063492064,1
132,480,360,840,24,48,72,114,48,162,0.768823099415205,1
133,192,834,1026,144,144,288,144,138,282,0.821407004830918,100
134,144,456,600,240,48,288,144,0,144,0.5,0.01
135,336,666,1002,48,144,192,144,276,420,0.464799718196457,0.1
136,576,522,1098,96,96,192,186,234,420,0.615154857090341,1
137,432,546,978,96,144,240,144,138,282,0.788194444444444,0.01
138,528,570,1098,96,96,192,228,192,420,0.762289839181286,0.1
139,480,618,1098,48,144,192,234,186,420,0.59054774377355,10000
140,528,522,1050,48,144,192,138,234,372,0.371469713861018,1000000
141,720,744,1464,192,144,336,264,240,504,0.632386363636364,1
142,480,522,1002,144,48,192,282,138,420,0.536540240518039,1
143,480,570,1050,48,144,192,138,234,372,0.56788058961972,0.1
144,192,834,1026,144,144,288,144,138,282,0.821407004830918,100
145,240,786,1026,144,144,288,144,138,282,0.826137278582931,1
146,10900,3439,14339,1326,768,2094,2696,1312,4008,0.554384996743142,0.001
147,432,1830,2262,192,330,522,120,498,618,0.766884203480589,1000000
148,306,768,1074,138,240,378,48,96,144,0.401475694444444,1E-06
149,1506,2160,3666,216,504,720,336,462,798,0.609326685219542,1
150,186,1284,1470,0,168,168,48,444,492,0.519566441441441,1
151,1506,1458,2964,144,48,192,234,270,504,0.465843621399177,0.01
152,744,426,1170,144,96,240,222,96,318,0.58033033033033,0.1
153,4868,1395,6263,680,205,885,1256,324,1580,0.775364669340253,1
154,26136,9151,35287,3126,1536,4662,7560,2334,9894,0.654476442104977,0.1
155,2622,1752,4374,240,282,522,636,426,1062,0.526290341630496,100000
156,10754,5806,16560,1350,774,2124,3134,1692,4826,0.650181001175244,1
157,1470,8715,10185,282,1464,1746,384,2734,3118,0.636206298768593,1
158,5652,1692,7344,954,348,1302,1524,486,2010,0.852464815354871,0.01
159,1056,672,1728,192,186,378,318,120,438,0.910534591194968,0.1
160,16188,33329,49517,2342,4698,7040,5184,10146,15330,0.719235808431468,100000
161,1623,33673,35296,138,4310,4448,176,9433,9609,0.583420872565365,0.001
162,3504,29597,33101,516,4032,4548,894,8698,9592,0.66890714674823,10000
163,264,4284,4548,0,605,605,66,1204,1270,0.260684083358502,10000
164,3690,11445,15135,528,1656,2184,738,3238,3976,0.673417044547221,100
165,1599,1482,3081,210,72,282,96,522,618,0.314894636015326,1E-06
166,1524,2766,4290,378,372,750,180,756,936,0.675051440329218,10000
167,2110,30484,32594,168,4353,4521,546,8516,9062,0.72519343033669,10000
168,2847,732,3579,234,192,426,708,72,780,0.514143910860013,100
169,918,800,1718,192,24,216,330,90,420,0.424983164983165,1E-06
170,15512,31210,46722,2313,4526,6839,4988,8646,13634,0.794547464458304,1
171,3311,4236,7547,456,678,1134,714,1122,1836,0.818795967584895,0.1
172,1446,816,2262,192,162,354,270,192,462,0.406539351851852,0.1
173,1560,1806,3366,288,228,516,564,612,1176,0.60053944745747,1E-06
174,299,342,641,48,96,144,138,120,258,0.823429951690821,0.1
175,9321,4080,13401,1536,618,2154,2202,1332,3534,0.781953274800686,100000
176,378,6165,6543,12,744,756,72,1768,1840,0.373546694318753,0.1
177,6805,1932,8737,870,300,1170,2060,444,2504,0.496561488673139,1000
178,831,6516,7347,96,1068,1164,210,1674,1884,0.52873641690846,0.1
179,9614,1668,11282,1488,168,1656,2352,450,2802,0.765547996976568,1
180,702,546,1248,0,138,138,426,192,618,0.425591744913928,1
181,5492,10163,15655,810,1692,2502,1404,3504,4908,0.852113254367821,1
182,3268,3590,6858,384,396,780,852,1242,2094,0.856761205990641,1000
183,3783,11152,14935,654,1350,2004,1164,2972,4136,0.681346056897596,0.1
184,1293,336,1629,162,48,210,456,72,528,0.362298976608187,0.01
185,4560,2046,6606,282,384,666,1250,618,1868,0.846621359223301,0.1
186,384,29661,30045,36,3902,3938,192,8430,8622,0.674878286872281,0.1
187,546,360,906,48,96,144,168,48,216,0.550099206349206,100
188,666,3240,3906,72,642,714,138,1044,1182,0.587713087900494,10000
189,792,672,1464,48,96,144,144,216,360,0.572723765432099,0.01
190,41171,240,41411,6673,60,6733,11712,96,11808,0.684965206625683,0.01
191,34534,492,35026,5011,24,5035,9624,90,9714,0.510824789877159,1000
192,4308,3029,7337,528,336,864,1398,648,2046,0.47245955421325,0.001
193,414,3779,4193,144,462,606,48,816,864,0.616217320261438,1
194,642,192,834,24,72,96,168,96,264,0.563709077380952,1000000
195,1644,528,2172,312,72,384,420,300,720,0.582428571428572,1
196,672,1230,1902,24,192,216,48,492,540,0.469131097560976,1000000
197,522,16509,17031,72,2588,2660,114,5532,5646,0.599006101660514,1
198,4356,1842,6198,546,186,732,1440,288,1728,0.890904706790123,0.1
199,276,474,750,48,144,192,186,138,324,0.674341592644538,1
200,6901,648,7549,900,48,948,1656,132,1788,0.560441370223979,1E-06
201,1620,972,2592,240,72,312,384,342,726,0.840841252436647,0.1
202,1716,15031,16747,210,1880,2090,384,4072,4456,0.642442544613622,100
203,1134,1614,2748,162,206,368,276,480,756,0.65,0.1
204,6990,3156,10146,1002,660,1662,2058,384,2442,0.842760467282151,10000
205,354,1009,1363,24,24,48,66,330,396,0.726584022038567,1
206,372,312,684,48,24,72,24,168,192,0.575644841269841,0.1
207,1974,528,2502,132,96,228,816,144,960,0.724230664488018,1
208,3960,22898,26858,511,3708,4219,1010,6738,7748,0.813340033914344,1
209,,,,,,,,,,0.715026785042075,
